wob_klbs,rpm,rop_fph,spp_psi,torque_ftlbs,is_anomaly,anomaly_type,recommended_solution
30.993428306022466,126.99677718293,93.24821725025619,2704.6096221061302,14568.253197517533,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.72347139765763,124.62316841456385,18.72617372001305,3068.1041803975054,14984.398255530457,True,Bit Balling,Increase mud flow rate. Sweep wellbore with high-vis pill to clean BHA.
31.295377076201383,120.29815184960087,92.07580079000039,2779.319723328918,15009.008436022223,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
33.04605971281605,116.76531611147213,96.9203847036096,2894.3843828670097,15236.315172921702,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.531693250553328,123.49111656806795,81.06385333046214,2827.827656226688,14316.570818359587,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.53172608610164,121.96742692710875,102.13293707372938,2733.2259215450053,15296.283636923665,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
33.15842563101478,124.47596610013866,100.01205475362224,2824.3018144708817,13647.804184198612,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
31.534869458305817,123.17585900840984,91.82911368931809,2722.6348005530817,14685.057723818094,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.061051228130097,125.24776357659667,106.59245668432405,2854.1345526943537,14755.863078774228,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
31.08512008717193,117.32382394219717,109.37570137626558,2776.443767409106,15316.66341303562,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.073164614375074,126.58697032817163,83.92440135631026,2795.3181905630413,15011.315426338435,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.068540492859487,120.987998023462,92.37275221433785,2866.2898323771096,14297.218473071856,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.48392454313207,130.37630436312634,92.30857650212701,2735.6418215707877,14507.503437091493,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
26.173439510684403,116.55406090955216,90.60096898891135,2730.1440907443503,15099.340004773703,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
26.550164334973935,128.67981901582624,108.29474841931749,2770.8200336827,14960.466329067722,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
28.875424941518055,120.98955391731324,98.06173861227197,2851.9189425509658,14710.437945182126,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
27.974337759331153,116.74290998192775,97.35485158689389,2724.032696226158,14759.58310524401,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.628494665190548,117.58057082972839,79.96137635593246,2658.3922200944717,15348.083998579645,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
28.183951848957577,118.3982634590284,106.35418030209226,2777.44205707955,14741.153713565393,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
27.175392597329417,122.12082973200958,87.60741605146528,2827.587039995546,14955.954377985463,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
32.93129753784311,122.6141774401775,100.59932630266329,2860.0130874869415,16084.96829404027,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.54844739902693,117.13149998030711,102.77376937958192,2776.84193189573,14288.158681558038,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.13505640937585,119.87822703869509,35.77284157712705,3165.8554527238566,14074.07863421267,True,Bit Balling,Increase mud flow rate. Sweep wellbore with high-vis pill to clean BHA.
27.150503627573087,130.71135179305932,86.91179600880888,2857.6950367127874,15391.794832399304,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
28.911234550949636,128.63771585050355,69.80487844179174,2706.512915015229,14660.678469352948,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.22184517941973,122.18161834837016,101.83849544753694,2780.5739612408497,14840.88123612869,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
27.698012845155393,120.190017390841,118.00511181510853,2809.521194496253,14609.421810934444,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.751396036691343,120.60015663359131,112.38946352939438,2822.4609360642517,14870.099929616244,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
28.79872262016239,123.06758986365209,102.09659415274626,2774.5096653404557,15799.269056048171,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.416612500413446,114.88603717400797,95.08363814367952,2801.722050585292,15401.06422930906,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
28.796586775541208,118.71311731288327,108.0712259663731,2675.5836323293506,15431.111755943488,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
33.70455636901787,111.65707963061206,90.26453800295532,2767.0875793833075,14291.886472103677,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
29.97300555052413,121.99611561302639,104.7635776935622,2822.6754356277233,14424.423131723564,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
27.8845781420882,123.2359796985137,105.05470159166627,2750.885298287266,13580.460670257286,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
31.645089824206377,117.58406768850313,110.6020990749888,2802.94921107948,14595.309589458622,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
27.558312700057954,127.86993381645016,127.59660038911078,2822.343625040135,15478.351593192829,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
30.41772719000951,113.8711716849883,103.92415967178766,2782.8725399571117,15258.473257874186,False,Nominal,Continue drilling. Optimize WOB for maximum ROP.
